[Sweep] Coordinate: (, , ) | Signal Flux:  nm
[Sweep] Coordinate: (, , ) | Signal Flux:  nm
[Sweep] Coordinate: (, , ) | Signal Flux:  nm
[Sweep] Coordinate: (, , ) | Signal Flux:  nm
[Sweep] Coordinate: (, , ) | Signal Flux:  nm
[Sweep] Coordinate: (, , ) | Signal Flux:  nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux:  nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux:  nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux:  nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (12.45, 8.92, -3.11) | Flux: 15.6282 nm
[Sweep] Vector: (, , ) | Flux: 0 nm
[Sweep] Vector: (, , ) | Flux: 0 nm
